ID,HospitalName,Address,City,County,State,Zipcode,RatingBelow6,Rating7-8,Rating9-10,Latitude,Longitude
1,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,HOUSTON,AL,36301,0.06,0.21,0.73,31.180076,-85.4045
2,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,MARSHALL,AL,35957,0.07,0.18,0.75,34.203621,-86.1728
3,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,LAUDERDALE,AL,35631,0.15,0.32,0.53,34.869964,-87.706859
4,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,COVINGTON,AL,36467,0.13,0.25,0.62,31.280048,-86.25484
5,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,CRENSHAW,AL,36049,0.09,0.21,0.7,31.737407,-86.26946
6,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,JEFFERSON,AL,35235,0.07,0.22,0.71,33.609779,-86.65507
7,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,DE KALB,AL,35968,0.07,0.22,0.71,34.460537,-85.76744
8,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,SHELBY,AL,35007,0.08,0.2,0.72,33.232422,-86.80871
9,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,JEFFERSON,AL,35233,0.01,0.09,0.9,33.509623,-86.7997
10,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,COLBERT,AL,35660,0.07,0.2,0.73,34.759738,-87.69317
11,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,DALE,AL,36360,0.09,0.28,0.63,31.447119,-85.62908
12,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,CHEROKEE,AL,35960,0.04,0.15,0.81,34.141067,-85.60472
13,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,MONTGOMERY,AL,36116,0.07,0.22,0.71,32.31324,-86.23672
14,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,MONTGOMERY,AL,36106,0.08,0.21,0.71,32.354888,-86.27161
15,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,CHAMBERS,AL,36854,0.09,0.26,0.65,32.777662,-85.17623
16,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,COFFEE,AL,36323,0.02,0.09,0.89,31.428389,-86.07271
17,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,LEE,AL,36801,0.04,0.19,0.77,32.660497,-85.39917
18,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,RANDOLPH,AL,36278,0.12,0.21,0.67,33.338853,-85.509
19,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,JEFFERSON,AL,35233,0.04,0.15,0.81,33.509623,-86.7997
20,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,ELMORE,AL,36078,0.07,0.18,0.75,32.553036,-85.9136
21,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,CULLMAN,AL,35058,0.07,0.18,0.75,34.223732,-86.7562
22,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,COVINGTON,AL,36420,0.09,0.23,0.68,31.279043,-86.48699
23,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,CALHOUN,AL,36201,0.15,0.23,0.62,33.658803,-85.85178
24,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,MADISON,AL,35801,0.06,0.2,0.74,34.72879,-86.57316
25,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,ETOWAH,AL,35903,0.08,0.21,0.71,33.996698,-85.92496
26,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,CHILTON,AL,35045,0.05,0.22,0.73,32.834501,-86.64355
27,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,MARION,AL,35570,0.08,0.18,0.74,34.149717,-88.00384
28,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,FAYETTE,AL,35555,0.02,0.14,0.84,33.681768,-87.83026
29,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,ETOWAH,AL,35901,0.22,0.25,0.53,34.016747,-85.99282
30,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,BUTLER,AL,36033,0.08,0.23,0.69,31.655458,-86.76737
